Game Number,Result,White Wins,Black Wins,Draws
421.0,1-0,,,
422.0,1/2-1/2,,,
423.0,1-0,,,
424.0,1/2-1/2,,,
425.0,1/2-1/2,,,
426.0,1/2-1/2,,,
427.0,1/2-1/2,,,
428.0,1-0,,,
429.0,*,,,
430.0,1/2-1/2,,,
431.0,1/2-1/2,,,
432.0,1/2-1/2,,,
433.0,1/2-1/2,,,
434.0,1/2-1/2,,,
435.0,1/2-1/2,,,
436.0,1/2-1/2,,,
437.0,1/2-1/2,,,
438.0,1/2-1/2,,,
439.0,1/2-1/2,,,
440.0,1-0,,,
441.0,0-1,,,
442.0,1-0,,,
443.0,1/2-1/2,,,
444.0,1/2-1/2,,,
445.0,0-1,,,
446.0,1/2-1/2,,,
447.0,1/2-1/2,,,
448.0,1/2-1/2,,,
449.0,1/2-1/2,,,
450.0,1-0,,,
451.0,1/2-1/2,,,
452.0,1/2-1/2,,,
453.0,1-0,,,
454.0,1/2-1/2,,,
455.0,0-1,,,
456.0,1/2-1/2,,,
457.0,1-0,,,
458.0,1-0,,,
459.0,1/2-1/2,,,
460.0,1/2-1/2,,,
461.0,1-0,,,
462.0,1/2-1/2,,,
463.0,1/2-1/2,,,
464.0,1/2-1/2,,,
465.0,1-0,,,
466.0,1/2-1/2,,,
467.0,1/2-1/2,,,
468.0,1/2-1/2,,,
469.0,1/2-1/2,,,
470.0,1/2-1/2,,,
471.0,1/2-1/2,,,
472.0,1/2-1/2,,,
473.0,1/2-1/2,,,
474.0,0-1,,,
475.0,1/2-1/2,,,
476.0,0-1,,,
477.0,1/2-1/2,,,
478.0,1/2-1/2,,,
479.0,1/2-1/2,,,
480.0,1/2-1/2,,,
481.0,1/2-1/2,,,
482.0,1/2-1/2,,,
483.0,1/2-1/2,,,
484.0,1/2-1/2,,,
485.0,1/2-1/2,,,
486.0,1/2-1/2,,,
487.0,1-0,,,
488.0,1/2-1/2,,,
489.0,1/2-1/2,,,
490.0,1/2-1/2,,,
491.0,0-1,,,
492.0,1-0,,,
493.0,1/2-1/2,,,
494.0,1-0,,,
495.0,1/2-1/2,,,
496.0,1-0,,,
497.0,1/2-1/2,,,
498.0,1/2-1/2,,,
499.0,1/2-1/2,,,
500.0,1-0,,,
501.0,1/2-1/2,,,
502.0,1/2-1/2,,,
503.0,1/2-1/2,,,
504.0,1/2-1/2,,,
505.0,1/2-1/2,,,
506.0,1/2-1/2,,,
507.0,1/2-1/2,,,
508.0,1/2-1/2,,,
509.0,1/2-1/2,,,
510.0,1/2-1/2,,,
511.0,1/2-1/2,,,
512.0,1/2-1/2,,,
513.0,1/2-1/2,,,
514.0,1/2-1/2,,,
515.0,1/2-1/2,,,
516.0,0-1,,,
517.0,1/2-1/2,,,
518.0,1/2-1/2,,,
519.0,1-0,,,
520.0,1-0,,,
521.0,1/2-1/2,,,
522.0,1/2-1/2,,,
523.0,1/2-1/2,,,
524.0,1/2-1/2,,,
